"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV_180","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV_18000","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella"
"ESV_18001","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_18002","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Candidatus_Megaira"
"ESV_18003","Bacteria","Chloroflexi","Phylum Chloroflexi","Phylum Chloroflexi","Phylum Chloroflexi","Phylum Chloroflexi"
"ESV_18004","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Microvirga"
"ESV_18005","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Family Chitinophagaceae"
"ESV_18006","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","LB3-76"
"ESV_18007","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Acidibacter"
"ESV_18008","Bacteria","Bacteroidetes","Ignavibacteria","SJA-28","Order SJA-28","Order SJA-28"
"ESV_18009","Bacteria","Proteobacteria","Alphaproteobacteria","Class Alphaproteobacteria","Class Alphaproteobacteria","Class Alphaproteobacteria"
"ESV_18011","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_18012","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Family Microtrichaceae"
"ESV_18013","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Pelosinus"
"ESV_18014","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ESV_18015","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Youngiibacter"
"ESV_18016","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Order Gaiellales","Order Gaiellales"
"ESV_18017","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","AKYH767","Family AKYH767"
"ESV_18018","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_18019","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Paludibaculum"
"ESV_18020","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rugamonas"
"ESV_18021","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ESV_18022","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Family env.OPS_17"
"ESV_18024","Bacteria","Patescibacteria","Parcubacteria","Class Parcubacteria","Class Parcubacteria","Class Parcubacteria"
"ESV_18025","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_1804","Bacteria","Armatimonadetes","Armatimonadia","Armatimonadales","Order Armatimonadales","Order Armatimonadales"
"ESV_1807","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Beijerinckiaceae","Bosea"
"ESV_1808","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Sediminibacterium"
"ESV_1809","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Rubritaleaceae","Luteolibacter"
"ESV_181","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Family Microbacteriaceae"
"ESV_1810","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Bryobacter"
"ESV_1811","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Order Rhodospirillales","Order Rhodospirillales"
"ESV_1812","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium"
"ESV_1813","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Family Saprospiraceae"
"ESV_1814","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","67-14","Family 67-14"
"ESV_1815","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_1817","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Family Verrucomicrobiaceae"
"ESV_1819","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Family Saprospiraceae"
"ESV_182","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ESV_1821","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_1826","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_1829","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Kineosporia"
"ESV_183","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Nostoc_PCC-73102"
"ESV_1830","Bacteria","Planctomycetes","vadinHA49","Class vadinHA49","Class vadinHA49","Class vadinHA49"
"ESV_1834","Bacteria","Actinobacteria","Actinobacteria","Pseudonocardiales","Pseudonocardiaceae","Pseudonocardia"
"ESV_184","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Spirosoma"
"ESV_1841","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Blastocatella"
