"","Kingdom","Phylum","Class","Order","Family","Genus"
"ESV_8281","","Kingdom ","Kingdom ","Kingdom ","Kingdom ","Kingdom "
"ESV_8283","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Family Acidiferrobacteraceae"
"ESV_8284","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Mesorhizobium"
"ESV_8285","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Cephaloticoccus"
"ESV_8286","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Leptothrix"
"ESV_8287","Bacteria","Proteobacteria","Deltaproteobacteria","PB19","Order PB19","Order PB19"
"ESV_829","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"ESV_8298","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ESV_83","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ESV_830","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ESV_8301","Bacteria","Chloroflexi","Anaerolineae","Caldilineales","Caldilineaceae","Family Caldilineaceae"
"ESV_8303","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","SM2D12","Family SM2D12"
"ESV_8307","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)"
"ESV_833","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ESV_8331","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_834","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_8340","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Pleomorphomonadaceae","Chthonobacter"
"ESV_8341","Bacteria","Verrucomicrobia","Verrucomicrobiae","Verrucomicrobiales","Verrucomicrobiaceae","Family Verrucomicrobiaceae"
"ESV_8342","Bacteria","Acidobacteria","Subgroup_6","Unknown_Order","Unknown_Family","Luteitalea"
"ESV_8345","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Family Isosphaeraceae"
"ESV_8346","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_8348","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Candidatus_Ovatusbacter"
"ESV_835","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingopyxis"
"ESV_8350","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_8351","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_8352","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_8353","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_8357","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_8359","Bacteria","Proteobacteria","Gammaproteobacteria","Acidiferrobacterales","Acidiferrobacteraceae","Family Acidiferrobacteraceae"
"ESV_836","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ESV_8360","Bacteria","Planctomycetes","Planctomycetacia","Pirellulales","Pirellulaceae","Pirellula"
"ESV_837","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Microbacteriaceae","Cryobacterium"
"ESV_838","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ESV_8380","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ESV_8388","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Family Oligoflexaceae"
"ESV_839","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","JGI_0001001-H03"
"ESV_8394","Bacteria","Proteobacteria","Alphaproteobacteria","Tistrellales","Geminicoccaceae","Candidatus_Alysiosphaera"
"ESV_8395","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_8399","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_84","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ESV_840","Bacteria","Chloroflexi","Chloroflexia","Thermomicrobiales","JG30-KF-CM45","Family JG30-KF-CM45"
"ESV_8402","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_841","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_843","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_8432","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","Family Rickettsiaceae"
"ESV_8436","Bacteria","Proteobacteria","Deltaproteobacteria","SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)","Order SAR324_clade(Marine_group_B)"
"ESV_8438","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_8439","Bacteria","Chloroflexi","KD4-96","Class KD4-96","Class KD4-96","Class KD4-96"
"ESV_8444","Bacteria","Patescibacteria","Gracilibacteria","Class Gracilibacteria","Class Gracilibacteria","Class Gracilibacteria"
"ESV_8445","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Family Polyangiaceae"
"ESV_845","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingorhabdus"
"ESV_8458","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Rudanella"
"ESV_8464","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Novosphingobium"
"ESV_8465","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ESV_8466","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Pedomicrobium"
"ESV_8467","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","37-13","Family 37-13"
"ESV_8469","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Family Blastocatellaceae"
"ESV_847","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Aquabacterium"
"ESV_8470","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_8474","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19","Family Blfdi19"
"ESV_8478","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ESV_848","Bacteria","Nitrospirae","Nitrospira","Nitrospirales","Nitrospiraceae","Nitrospira"
"ESV_849","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Nannocystaceae","Nannocystis"
"ESV_850","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ESV_8504","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Pseudolabrys"
"ESV_851","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Crocinitomicaceae","Fluviicola"
"ESV_8510","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","mle1-27","Family mle1-27"
"ESV_8512","Bacteria","Actinobacteria","Actinobacteria","Kineosporiales","Kineosporiaceae","Quadrisphaera"
"ESV_8513","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Zambryskibacteria","Order Candidatus_Zambryskibacteria","Order Candidatus_Zambryskibacteria"
"ESV_8514","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_8518","Bacteria","Verrucomicrobia","Verrucomicrobiae","UA11","Order UA11","Order UA11"
"ESV_852","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Noviherbaspirillum"
"ESV_8520","Bacteria","Bacteroidetes","Rhodothermia","Rhodothermales","Rhodothermaceae","Family Rhodothermaceae"
"ESV_8524","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","P3OB-42","Family P3OB-42"
"ESV_8527","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","0319-6G20","Family 0319-6G20"
"ESV_8528","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Blfdi19","Family Blfdi19"
"ESV_8529","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV_853","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","Chamaesiphon_PCC-7430"
"ESV_8530","Bacteria","Patescibacteria","Parcubacteria","Class Parcubacteria","Class Parcubacteria","Class Parcubacteria"
"ESV_854","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_8546","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Peredibacter"
"ESV_8547","Bacteria","Planctomycetes","Planctomycetacia","Isosphaerales","Isosphaeraceae","Singulisphaera"
"ESV_855","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Flavobacterium"
"ESV_8552","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","PMMR1"
"ESV_8553","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Adhaeribacter"
"ESV_8558","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Family Fimbriimonadaceae"
"ESV_8559","Bacteria","Proteobacteria","Alphaproteobacteria","Acetobacterales","Acetobacteraceae","Roseococcus"
"ESV_856","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"ESV_857","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Gillisia"
"ESV_858","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","37-13","Family 37-13"
"ESV_8583","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_8584","Bacteria","Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes","Phylum Armatimonadetes"
"ESV_8585","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Marmoricola"
"ESV_8586","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_8588","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","Family WD2101_soil_group"
"ESV_859","Bacteria","Armatimonadetes","Fimbriimonadia","Fimbriimonadales","Fimbriimonadaceae","Family Fimbriimonadaceae"
"ESV_8592","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Order Microtrichales","Order Microtrichales"
"ESV_86","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Hymenobacteraceae","Hymenobacter"
"ESV_860","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingomonas"
"ESV_8601","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Family env.OPS_17"
"ESV_8602","Bacteria","Actinobacteria","Acidimicrobiia","Class Acidimicrobiia","Class Acidimicrobiia","Class Acidimicrobiia"
"ESV_8603","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","Family NS11-12_marine_group"
"ESV_8604","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Order Myxococcales","Order Myxococcales"
"ESV_861","Bacteria","Chloroflexi","TK10","Class TK10","Class TK10","Class TK10"
"ESV_8629","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Microtrichaceae","Family Microtrichaceae"
"ESV_863","Bacteria","Bacteroidetes","Bacteroidia","Class Bacteroidia","Class Bacteroidia","Class Bacteroidia"
"ESV_8630","Bacteria","Proteobacteria","Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria","Class Deltaproteobacteria"
"ESV_8632","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Terrimonas"
"ESV_8634","","Kingdom ","Kingdom ","Kingdom ","Kingdom ","Kingdom "
"ESV_8636","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Aurantimonas"
"ESV_8637","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_864","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Lacunisphaera"
"ESV_865","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Methylophilaceae","Methylotenera"
"ESV_867","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","env.OPS_17","Family env.OPS_17"
"ESV_868","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Taibaiella"
"ESV_8685","Bacteria","Verrucomicrobia","Verrucomicrobiae","Class Verrucomicrobiae","Class Verrucomicrobiae","Class Verrucomicrobiae"
"ESV_8686","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","Leptolyngbya_Es-Yyy1000"
"ESV_869","Bacteria","Cyanobacteria","Oxyphotobacteria","Leptolyngbyales","Leptolyngbyaceae","Chamaesiphon_PCC-7430"
"ESV_8691","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","AAP99"
"ESV_8692","Bacteria","Patescibacteria","Gracilibacteria","Class Gracilibacteria","Class Gracilibacteria","Class Gracilibacteria"
"ESV_8696","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Order Absconditabacteriales_(SR1)","Order Absconditabacteriales_(SR1)"
"ESV_8697","Bacteria","Patescibacteria","Gracilibacteria","Absconditabacteriales_(SR1)","Order Absconditabacteriales_(SR1)","Order Absconditabacteriales_(SR1)"
"ESV_87","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Brevundimonas"
"ESV_871","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_8711","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Family Blastocatellaceae"
"ESV_8717","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Spirosomaceae","Family Spirosomaceae"
"ESV_8719","Bacteria","Patescibacteria","Parcubacteria","Class Parcubacteria","Class Parcubacteria","Class Parcubacteria"
"ESV_872","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_8722","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Devosiaceae","Family Devosiaceae"
"ESV_873","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Family Pedosphaeraceae"
"ESV_8730","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Pseudorhodobacter"
"ESV_8732","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Family Paracaedibacteraceae"
"ESV_874","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Polymorphobacter"
"ESV_8756","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"ESV_8758","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Family Rhizobiaceae"
"ESV_8759","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Xanthobacteraceae","Bradyrhizobium"
"ESV_876","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiales_Incertae_Sedis","Family Rhizobiales_Incertae_Sedis"
"ESV_8760","Bacteria","Acidobacteria","Subgroup_6","Class Subgroup_6","Class Subgroup_6","Class Subgroup_6"
"ESV_8763","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Trueperaceae","Truepera"
"ESV_8765","Bacteria","Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria","Phylum Proteobacteria"
"ESV_8767","Bacteria","Patescibacteria","Gracilibacteria","Class Gracilibacteria","Class Gracilibacteria","Class Gracilibacteria"
"ESV_8768","Bacteria","Deinococcus-Thermus","Deinococci","Deinococcales","Deinococcaceae","Deinococcus"
"ESV_8772","","Kingdom ","Kingdom ","Kingdom ","Kingdom ","Kingdom "
"ESV_8773","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","KD3-10","Family KD3-10"
"ESV_8774","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_8775","Bacteria","Planctomycetes","Planctomycetacia","Planctomycetales","Order Planctomycetales","Order Planctomycetales"
"ESV_8776","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Candidatus_Turbabacter"
"ESV_8777","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Moranbacteria","Order Candidatus_Moranbacteria","Order Candidatus_Moranbacteria"
"ESV_8778","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","OM27_clade"
"ESV_8797","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminiclostridium_1"
"ESV_8798","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Solirubrobacter"
"ESV_88","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Blastocatella"
"ESV_8809","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Yonathbacteria","Order Candidatus_Yonathbacteria","Order Candidatus_Yonathbacteria"
"ESV_881","Bacteria","Planctomycetes","vadinHA49","Class vadinHA49","Class vadinHA49","Class vadinHA49"
"ESV_8813","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Rhizorhapis"
"ESV_8814","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Proteiniclasticum"
"ESV_8819","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_882","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","NS11-12_marine_group","Family NS11-12_marine_group"
"ESV_8822","Bacteria","Gemmatimonadetes","Gemmatimonadetes","Gemmatimonadales","Gemmatimonadaceae","Family Gemmatimonadaceae"
"ESV_8823","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Pedobacter"
"ESV_883","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Phenylobacterium"
"ESV_884","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Gloeocapsaceae","Gleocapsa"
"ESV_885","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV_8857","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_8858","Bacteria","Planctomycetes","Planctomycetacia","Class Planctomycetacia","Class Planctomycetacia","Class Planctomycetacia"
"ESV_886","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Family Burkholderiaceae"
"ESV_8864","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Family Oligoflexaceae"
"ESV_8865","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_8867","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Order Solirubrobacterales","Order Solirubrobacterales"
"ESV_8868","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","37-13","Family 37-13"
"ESV_887","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Order Frankiales","Order Frankiales"
"ESV_8873","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_8876","","Kingdom ","Kingdom ","Kingdom ","Kingdom ","Kingdom "
"ESV_8877","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_8878","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Family Oligoflexaceae"
"ESV_8879","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Order Myxococcales","Order Myxococcales"
"ESV_888","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Order Frankiales","Order Frankiales"
"ESV_889","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Ferruginibacter"
"ESV_8892","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Order Microtrichales","Order Microtrichales"
"ESV_890","Bacteria","Actinobacteria","Thermoleophilia","Solirubrobacterales","Solirubrobacteraceae","Family Solirubrobacteraceae"
"ESV_8904","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"ESV_8905","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus"
"ESV_8906","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Haliangiaceae","Haliangium"
"ESV_8907","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","NS9_marine_group","Family NS9_marine_group"
"ESV_8908","Bacteria","FBP","Phylum FBP","Phylum FBP","Phylum FBP","Phylum FBP"
"ESV_8909","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bacteriovoracaceae","Bacteriovorax"
"ESV_891","Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria","Kingdom Bacteria"
"ESV_8910","Bacteria","Patescibacteria","Saccharimonadia","Saccharimonadales","Order Saccharimonadales","Order Saccharimonadales"
"ESV_892","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Family Chitinophagaceae"
"ESV_893","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_8939","Bacteria","Patescibacteria","Parcubacteria","Candidatus_Kaiserbacteria","Order Candidatus_Kaiserbacteria","Order Candidatus_Kaiserbacteria"
"ESV_8945","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Order Chitinophagales","Order Chitinophagales"
"ESV_8946","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Neochlamydia"
"ESV_8947","Bacteria","Chlamydiae","Chlamydiae","Chlamydiales","Parachlamydiaceae","Family Parachlamydiaceae"
"ESV_8949","Bacteria","Planctomycetes","Phycisphaerae","Tepidisphaerales","WD2101_soil_group","Family WD2101_soil_group"
"ESV_8950","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_8958","Bacteria","Bacteroidetes","Bacteroidia","Flavobacteriales","Weeksellaceae","Family Weeksellaceae"
"ESV_896","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Silanimonas"
"ESV_8962","Bacteria","Chloroflexi","Chloroflexia","Kallotenuales","AKIW781","Family AKIW781"
"ESV_8963","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Order Myxococcales","Order Myxococcales"
"ESV_8966","Bacteria","Verrucomicrobia","Verrucomicrobiae","Pedosphaerales","Pedosphaeraceae","Family Pedosphaeraceae"
"ESV_897","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Tabrizicola"
"ESV_8971","Bacteria","Patescibacteria","Parcubacteria","Class Parcubacteria","Class Parcubacteria","Class Parcubacteria"
"ESV_8972","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Family Phycisphaeraceae"
"ESV_8974","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Zavarzinella"
"ESV_898","Bacteria","Actinobacteria","Thermoleophilia","Gaiellales","Gaiellaceae","Gaiella"
"ESV_8997","Bacteria","Proteobacteria","Deltaproteobacteria","Bdellovibrionales","Bdellovibrionaceae","Bdellovibrio"
"ESV_90","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Rhodoferax"
"ESV_9003","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","Flavisolibacter"
"ESV_9006","Bacteria","Verrucomicrobia","Verrucomicrobiae","Chthoniobacterales","Chthoniobacteraceae","Chthoniobacter"
"ESV_9007","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","DS-100","Order DS-100","Order DS-100"
"ESV_9009","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_901","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Qipengyuania"
"ESV_9015","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Gemmata"
"ESV_9017","Bacteria","Proteobacteria","Alphaproteobacteria","Caulobacterales","Caulobacteraceae","Family Caulobacteraceae"
"ESV_9018","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Fimbriiglobus"
"ESV_902","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Sporichthyaceae","Sporichthya"
"ESV_903","Bacteria","Cyanobacteria","Oxyphotobacteria","Class Oxyphotobacteria","Class Oxyphotobacteria","Class Oxyphotobacteria"
"ESV_9040","Bacteria","Proteobacteria","Gammaproteobacteria","Diplorickettsiales","Diplorickettsiaceae","Aquicella"
"ESV_9047","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides"
"ESV_9051","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Family Oligoflexaceae"
"ESV_9055","Bacteria","Proteobacteria","Alphaproteobacteria","Class Alphaproteobacteria","Class Alphaproteobacteria","Class Alphaproteobacteria"
"ESV_9057","Bacteria","Chloroflexi","Anaerolineae","SBR1031","A4b","Family A4b"
"ESV_9058","Bacteria","Planctomycetes","Planctomycetacia","Gemmatales","Gemmataceae","Family Gemmataceae"
"ESV_9059","Bacteria","Verrucomicrobia","Verrucomicrobiae","Opitutales","Opitutaceae","Opitutus"
"ESV_9060","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Roseiflexaceae","Family Roseiflexaceae"
